Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,Michael Douglas•Hyatt,Michael•Hyatt,9 April 1970,,Jamaica,830,,,,,,,,
Competed in Olympic Games,Male,Stephen•Hylton,Stephen•Hylton,23 October 1964,,Jamaica,831,,,,,,,,
Competed in Olympic Games,Male,Garfield•Jones,Garfield•Jones,4 March 1966,,Jamaica,832,180 cm / 70 kg,,,,,,,
Competed in Olympic Games,Female,Nadia Rashad•Al-Hindi,Nadia•Al-Hindi,8 February 1972,,Jordan,833,,,,,,,نادية رشاد•الهندية,
Competed in Olympic Games,Female,Jaklein•Al-Duqom,Jaklein•Al-Duqom,10 March 1964,,Jordan,834,,,,,,,جاكلين•الدقم,
Competed in Olympic Games,Female,Kimiko•Date (-Krumm),Kimiko•Date,"28 September 1970 in Kyoto, Kyoto (JPN)",,Japan,835,164 cm / 52 kg,,Kid Butterfly,,,,伊達•公子,
Competed in Olympic Games,Female,Mana•Endo,Mana•Endo,"6 February 1971 in Fukuyama, Hiroshima (JPN)",,Japan,836,160 cm / 55 kg,,,,,,遠藤•愛,
Competed in Olympic Games,Female,Mika•Hoshino (-Baba),Mika•Hoshino,"10 July 1965 in Katashina, Gunma (JPN)",,Japan,837,158 cm / 50 kg,,,,,,星野 (-馬場)•美香,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Female,Etsuko•Inoue,Etsuko•Inoue,"18 October 1964 in Nakano, Tokyo (JPN)",,Japan,838,164 cm / 53 kg,,,,,,井上•悦子,
Competed in Olympic Games,Female,Kiyomi•Ishida,Kiyomi•Ishida,28 April 1968,,Japan,839,162 cm / 55 kg,,,,,,石田•清美,
Competed in Olympic Games,Female,Kimiko•Jinnai,Kimiko•Jinnai,"12 March 1964 in Yatsushiro, Kumamoto (JPN)",,Japan,840,165 cm / 53 kg,,,,,,陣内•貴美子,
Competed in Olympic Games,Female,Maya•Kidowaki,Maya•Kidowaki,"17 May 1969 in ?, Kyoto (JPN)",,Japan,841,167 cm / 57 kg,,,,,,木戸脇•真也,
Competed in Olympic Games,Female,Harumi•Kohara,Harumi•Kohara,"24 June 1965 in ?, Osaka (JPN)",,Japan,842,167 cm / 60 kg,,,,,,鴻原•春美,
Competed in Olympic Games,Female,Chire•Koyama,Chire•Koyama,"30 September 1964 in Shanghai, Shanghai (CHN)",,Japan,843,168 cm / 60 kg,Bank of Ikeda,,,He Zhili,,小山•ちれ,
Competed in Olympic Games,Female,Yukino•Matsumoto,Yukino•Matsumoto,"15 June 1970 in ?, Chiba (JPN)",,Japan,844,164 cm / 56 kg,,,,,,松本•雪乃,
Competed in Olympic Games,Female,Tomomi•Matsuo,Tomomi•Matsuo,"15 August 1968 in ?, Kumamoto (JPN)",,Japan,845,169 cm / 67 kg,NTT Tokyo,,,,,松尾•知美,
Competed in Olympic Games,Female,Akiko•Miyamura,Akiko•Miyamura,"14 October 1974 in ?, Kumamoto (JPN)",,Japan,846,172 cm / 59 kg,Suntory,,,,,宮村•亜貴子,
Competed in Olympic Games,Female,Aiko•Miyamura,Aiko•Miyamura,"11 August 1971 in ?, Kumamoto (JPN)",,Japan,847,173 cm / 60 kg,Suntory,,,,,宮村•愛子,
Competed in Olympic Games,Female,Hisako•Mizui,Hisako•Mizui,"29 March 1972 in Nara, Nara (JPN)",,Japan,848,165 cm / 55 kg,NTT Tokyo,,,,,水井•妃佐子,
Competed in Olympic Games,Female,Yasuko•Mizui,Yasuko•Mizui,"19 September 1975 in Nara, Nara (JPN)",,Japan,849,169 cm / 58 kg,NTT Tokyo,,,,,水井•泰子,
Competed in Olympic Games,Female,Hisako•Mori,Hisako•Mori,"4 May 1964 in ?, Kanagawa (JPN)",,Japan,850,162 cm / 47 kg,,,,,,森•久子,
Competed in Olympic Games,Female,Kyoko•Nagatsuka,Kyoko•Nagatsuka,"22 February 1974 in Chiba, Chiba (JPN)",,Japan,851,166 cm / 57 kg,,,,,,長塚•京子,
Competed in Olympic Games,Female,Kumiko•Okamoto,Kumiko•Okamoto,"19 February 1965 in Osaka, Osaka (JPN)",,Japan,852,160 cm / 48 kg,,,,,,岡本•久美子,
Competed in Olympic Games,Female,Kyoko•Sasage,Kyoko•Sasage,"13 August 1969 in ?, Saitama (JPN)",,Japan,853,160 cm / 55 kg,,,,,,捧•匡子,
Competed in Olympic Games,Female,Rika•Sato,Rika•Sato,"12 November 1971 in Sendai, Miyagi (JPN)",,Japan,854,154 cm / 47 kg,Wakayama Bank,,,,,佐藤•利香,
Competed in Olympic Games,Female,Naoko•Sawamatsu,Naoko•Sawamatsu,"23 March 1973 in Nishinomiya, Hyogo (JPN)",,Japan,855,167 cm / 58 kg,,,,,,沢松•奈生子,
Competed in Olympic Games,Female,Ai•Sugiyama,Ai•Sugiyama,"5 July 1975 in Yokohama, Kanagawa (JPN)",,Japan,856,161 cm / 56 kg,Wacoal,,,,,杉山•愛,
Competed in Olympic Games,Female,Kyoko•Uchiyama,Kyoko•Uchiyama,16 November 1968,,Japan,857,162 cm / 55 kg,,,,,,内山•京子,
Competed in Olympic Games,Female,Fumiyo•Yamashita-Kaizu,Fumiyo•Yamashita-Kaizu,"1 April 1967 in ?, Fukui (JPN)",,Japan,858,154 cm / 47 kg,Matsushita Electric Works,,,,,山下•富美代,
Competed in Olympic Games,Male,Masanosuke•Fukuda,Masanosuke•Fukuda,"4 May 1897 in Totsuka, Shinjuku, Tokyo (JPN)",22 December 1974,Japan,859,,"Takada Shokai Co., Ltd., Yokohama (JPN)",,,,,福田•雅之助,
Competed in Olympic Games,Male,Takeichi•Harada,Takeichi•Harada,"16 May 1899 in Osaka, Osaka (JPN)","12 June 1978 in Kurashiki, Okayama (JPN)",Japan,860,,"Harvard Crimson, Cambridge (USA)",,,,,原田•武一,
Competed in Olympic Games,Male,Asaji•Honda,Asaji•Honda,,,Japan,861,,"Mitsui & Co., Ltd., Chiyoda (JPN)",,,,,本田•朝次,
Competed in Olympic Games,Male,Satoshi•Iwabuchi,Satoshi•Iwabuchi,"7 October 1975 in Chigasaki, Kanagawa (JPN)",,Japan,862,174 cm / 73 kg,,,,,,岩渕•聡,
Competed in Olympic Games,Male,Seiichiro•Kashio,Seiichiro•Kashio,"2 January 1892 in Osaka, Osaka (JPN)","6 September 1962 in Tokyo, Tokyo (JPN)",Japan,863,,"Mitsui & Co., Ltd., Chiyoda (JPN)",,,,,柏尾•誠一郎,
Competed in Olympic Games,Male,Ichiya•Kumagae,Ichiya•Kumagae,"10 September 1890 in Omuta, Fukuoka (JPN)","16 August 1968 in Kamakura, Kanagawa (JPN)",Japan,864,162 cm / 59 kg,"Mitsubishi Heavy Industries, Nagasaki (JPN)",,,Ichiya Kumagai,,熊谷•一弥,
Competed in Olympic Games,Male,Fumihiko•Machida,Fumihiko•Machida,"17 March 1969 in ?, Tochigi (JPN)",,Japan,865,172 cm / 70 kg,NTT Tokyo,,,,,町田•文彦,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Shuji•Matsuno,Shuji•Matsuno,"11 September 1963 in ?, Yamanashi (JPN)",,Japan,866,171 cm / 68 kg,,,,,,松野•修二,
Competed in Olympic Games,Male,Shuzo•Matsuoka,Shuzo•Matsuoka,"6 November 1967 in Tokyo, Tokyo (JPN)",,Japan,867,185 cm / 80 kg,,,,,,松岡•修造,
Competed in Olympic Games,Male,Koji•Matsushita,Koji•Matsushita,"28 August 1967 in Toyohashi, Aichi (JPN)",,Japan,868,171 cm / 65 kg,SV Weru Pluderhausen,,,,,松下•浩二,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Shinji•Matsuura,Shinji•Matsuura,"15 February 1964 in ?, Shiga (JPN)",,Japan,869,183 cm / 81 kg,,,,,,松浦•進二,
Competed in Olympic Games,Male,Koji•Miya,Koji•Miya,"25 May 1965 in ?, Yamanashi (JPN)",,Japan,870,181 cm / 75 kg,,,,,,宮•康ニ,
Competed in Olympic Games,Male,Yoshihito•Miyazaki,Yoshihito•Miyazaki,8 April 1959,,Japan,871,178 cm / 75 kg,,,,,,宮崎•義仁,
Competed in Olympic Games,Male,Hideaki•Motoyama,Hideaki•Motoyama,"25 July 1969 in ?, Kumamoto (JPN)","29 July 2009 in Yatsushiro, Kumamoto (JPN)",Japan,872,182 cm / 78 kg,,,,,,本山•秀昭,
Competed in Olympic Games,Male,Kinjiro•Nakamura,Kinjiro•Nakamura,"2 May 1975 in ?, Osaka (JPN)",,Japan,873,172 cm / 70 kg,,,,,,仲村•錦治郎,
Competed in Olympic Games,Male,Sunao•Okamoto,Sunao•Okamoto,"1 September 1894 in Seto, Okayama, Okayama (JPN)","2 September 1955 in Tokyo, Tokyo (JPN)",Japan,874,,"Mitsui & Co., Ltd., Chiyoda (JPN)",,,,,岡本•忠,
Competed in Olympic Games,Male,Seiji•Ono,Seiji•Ono,"18 June 1956 in Seiyo, Ehime (JPN)",,Japan,875,177 cm / 65 kg,,,,,,小野•誠治,
Competed in Olympic Games,Male,Kiyoshi•Saito,Kiyoshi•Saito,"30 September 1962 in Shonai, Yamagata (JPN)",,Japan,876,164 cm / 65 kg,,,,,,斎藤•清,
Competed in Olympic Games,Female,Masako•Sakamoto,Masako•Sakamoto,"10 October 1972 in ?, Kumamoto (JPN)",,Japan,877,163 cm / 57 kg,NTT Tokyo,,,,,阪本•雅子,
Competed in Olympic Games,Male,Hiroshi•Shibutani,Hiroshi•Shibutani,"6 April 1967 in ?, Fukuoka (JPN)",,Japan,878,172 cm / 65 kg,,,,,,渋谷•浩,
Competed in Olympic Games,Male,Takao•Suzuki,Takao•Suzuki,"20 September 1976 in Sapporo, Hokkaido (JPN)",,Japan,879,175 cm / 73 kg,,,,,,鈴木•貴男,
Competed in Olympic Games,Male,Toshio•Tasaki,Toshio•Tasaki,"1 November 1974 in ?, Tochigi (JPN)",,Japan,880,168 cm / 64 kg,Kyoma Hakko Kogyo,,,,,田崎•俊雄,
Competed in Olympic Games,Male,Toshihisa•Tsuchihashi,Toshihisa•Tsuchihashi,"18 October 1966 in Kagoshima, Kagoshima (JPN)",,Japan,881,168 cm / 61 kg,"Waseda University, Tokyo (JPN)",,,,,土橋•登志久,
Competed in Olympic Games,Male,Takehiro•Watanabe,Takehiro•Watanabe,"16 December 1961 in ?, Fukuoka (JPN)",,Japan,882,167 cm / 61 kg,,,,,,渡辺•武弘,
Competed in Olympic Games,Male,Ryo•Yuzawa,Ryo•Yuzawa,"7 October 1976 in Tachikawa, Tokyo (JPN)",,Japan,883,175 cm / 76 kg,Tokyo Art,,,,,遊澤•亮,
